Data_OEE_ALL_Date,Data_OEE_ALL_Project,Data_OEE_ALL_Team,Data_OEE_ALL_OEE,Data_OEE_ALL_OEE_J1_G4,Data_OEE_ALL_Performance,Data_OEE_ALL_Availability,Data_OEE_ALL_Availability_J1_G4,Data_OEE_ALL_Quality,Data_OEE_ALL_Planned_DT,Data_OEE_ALL_Unplanned_DT,Data_OEE_ALL_UPD_J1_G4_,Data_OEE_ALL_Scrap_m,Data_OEE_ALL_DT_h,Data_OEE_ALL_Standard_Time_h,Data_OEE_ALL_Set_upTime,Data_OEE_ALL_Quantity_Psc,Data_OEE_ALL_Batch_size_Pcs
1/2/2023 12:00:00 AM,CV,AKIL,0.2507,0.295,0.6443,0.389,0.4578,0.9988,0.257,0.354,0.2397,73.554,43.99,18.05,1.97,46121,106
1/2/2023 12:00:00 AM,CV,BOUFDILI,0.2232,0.2643,0.6553,0.3406,0.4033,0.9981,0.393,0.2666,0.1316,100.215,47.48,16.07,6.18,44047,228
1/2/2023 12:00:00 AM,CV,OMAR,0.246,0.2856,0.6843,0.3595,0.4173,0.9969,0.326,0.3143,0.2041,145.395,46.12,17.71,4.49,46548,234
1/2/2023 12:00:00 AM,PSA,PSA 1,0.1575,0.2397,0.5244,0.3004,0.4571,0.9968,0.191,0.5082,0.2516,726.36,296.64,66.79,10.85,169756,682
1/2/2023 12:00:00 AM,PSA,PSA 2,0.1626,0.3177,0.6241,0.2606,0.509,0.9965,0.129,0.61,0.2381,856.165,313.51,68.96,8.01,170172,728
1/2/2023 12:00:00 AM,PSA,PSA 3,0.2371,0.3326,0.5992,0.3956,0.5551,0.9978,0.164,0.4402,0.2145,938.23,256.27,100.51,6.98,256611,937
1/2/2023 12:00:00 AM,SysApp,Mouguina,0.1465,0.1979,0.5246,0.2792,0.3772,0.9917,0.295,0.4253,0.2236,384.295,74.96,15.24,21.62,39939,833
1/2/2023 12:00:00 AM,SysApp,Riahi,0.1855,0.2681,0.6106,0.3037,0.4391,0.9938,0.308,0.3887,0.1162,361.271,72.41,19.29,16.67,47282,946
1/3/2023 12:00:00 AM,CV,AKIL,0.2522,0.2678,0.6835,0.369,0.3918,0.9974,0.309,0.3224,0.2806,120.387,45.43,18.16,3.26,46553,146
1/3/2023 12:00:00 AM,CV,BOUFDILI,0.2436,0.261,0.6468,0.3766,0.4034,0.9984,0.418,0.2052,0.1485,74.033,44.88,17.54,5.4,46062,180
1/3/2023 12:00:00 AM,CV,OMAR,0.2278,0.2863,0.7033,0.3239,0.4071,0.9977,0.249,0.4269,0.2798,127.471,48.68,16.4,3.36,40569,196
1/3/2023 12:00:00 AM,PSA,PSA 1,0.2203,0.3585,0.6018,0.3661,0.5958,0.9968,0.151,0.483,0.1585,1015.77,268.79,93.4,6.09,228563,717
1/3/2023 12:00:00 AM,PSA,PSA 2,0.1921,0.3455,0.6539,0.2938,0.5284,0.9968,0.138,0.5685,0.2239,1127.065,299.43,81.46,8.99,166656,681
1/3/2023 12:00:00 AM,PSA,PSA 3,0.2369,0.3309,0.5884,0.4026,0.5624,0.9976,0.16,0.4375,0.2143,1391.61,253.28,100.44,7.82,262332,1025
1/3/2023 12:00:00 AM,SysApp,Mouguina,0.1955,0.2506,0.5465,0.3578,0.4586,0.9948,0.284,0.3582,0.1775,326.9,66.79,20.34,14.47,56565,845
1/3/2023 12:00:00 AM,SysApp,Riahi,0.188,0.2821,0.6146,0.306,0.459,0.9967,0.226,0.4678,0.2016,177.195,72.18,19.56,13.48,48404,807
1/4/2023 12:00:00 AM,CV,AKIL,0.2934,0.3373,0.6669,0.44,0.5057,0.9984,0.224,0.3357,0.2364,118.523,40.32,21.12,2.31,53810,166
1/4/2023 12:00:00 AM,CV,BOUFDILI,0.2756,0.3071,0.6551,0.4206,0.4688,0.9973,0.297,0.2823,0.2001,180.275,41.71,19.84,4.09,52609,255
1/4/2023 12:00:00 AM,CV,OMAR,0.2411,0.3079,0.682,0.3536,0.4514,0.9964,0.237,0.409,0.2455,192.065,46.54,17.36,3.15,42834,226
1/4/2023 12:00:00 AM,PSA,PSA 1,0.2213,0.3526,0.6111,0.3621,0.5769,0.9967,0.161,0.4773,0.1673,1298.525,270.46,93.84,7.22,221018,716
1/4/2023 12:00:00 AM,PSA,PSA 2,0.1828,0.3403,0.6524,0.2802,0.5216,0.9969,0.14,0.5798,0.2177,757.475,305.19,77.51,8.73,177578,763
1/4/2023 12:00:00 AM,PSA,PSA 3,0.2586,0.3772,0.6355,0.4069,0.5935,0.9974,0.137,0.4563,0.207,1029.275,251.48,109.65,5.79,276298,1047
1/4/2023 12:00:00 AM,SysApp,Mouguina,0.1873,0.2341,0.5099,0.3674,0.4592,0.9906,0.243,0.3893,0.2367,461.825,65.79,19.48,11.43,52036,713
1/4/2023 12:00:00 AM,SysApp,Riahi,0.2019,0.306,0.6022,0.3353,0.5082,0.9947,0.22,0.4443,0.1578,225.463,69.13,21,11.94,49721,905
1/5/2023 12:00:00 AM,CV,AKIL,0.2603,0.3069,0.6731,0.3867,0.456,0.9987,0.277,0.3363,0.2175,66.385,44.15,18.74,2.78,47800,146
1/5/2023 12:00:00 AM,CV,BOUFDILI,0.2698,0.3085,0.646,0.4177,0.4776,0.9971,0.298,0.2847,0.1823,155.165,41.92,19.43,4.02,51100,229
1/5/2023 12:00:00 AM,CV,OMAR,0.274,0.3487,0.6659,0.4115,0.5236,0.997,0.229,0.3593,0.1847,170.605,42.37,19.73,2.84,51535,247
1/5/2023 12:00:00 AM,PSA,PSA 1,0.2142,0.3596,0.6097,0.3513,0.5898,0.9963,0.151,0.4975,0.1564,1380.87,275.05,90.81,6.52,212536,665
